                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 0.7249,                0.56293,                 1.0769,                0.76294,                 0.6957,                0.76319,                0.60406,                0.95363,                0.79315,                 1.3427,               0.003532,               0.003532,               0.003532
                    100,                0.69118,                0.55159,                 1.0841,                 0.6793,                0.74947,                0.79216,                0.64304,                0.96189,                0.81625,                 1.3443,               0.003466,               0.003466,               0.003466
                    101,                0.67378,                0.51422,                 1.0451,                0.81821,                0.67297,                0.80577,                0.65339,                 0.9433,                0.81158,                 1.3294,                 0.0034,                 0.0034,                 0.0034
                    102,                0.69107,                 0.5624,                 1.0496,                0.79332,                 0.6682,                0.80015,                0.64999,                0.91675,                0.81598,                 1.3046,               0.003334,               0.003334,               0.003334
                    103,                0.67064,                0.56383,                  1.061,                0.69358,                0.77775,                0.78659,                 0.6402,                0.91541,                0.87104,                 1.2736,               0.003268,               0.003268,               0.003268
                    104,                0.63196,                0.49357,                 1.0031,                0.69927,                0.78821,                0.79801,                0.64032,                0.90053,                0.87852,                 1.2842,               0.003202,               0.003202,               0.003202
                    105,                0.63209,                0.51229,                 1.0339,                0.77863,                 0.7241,                0.81547,                0.65707,                0.88557,                0.84761,                 1.2663,               0.003136,               0.003136,               0.003136
                    106,                0.67506,                0.53266,                 1.0587,                0.78426,                0.74186,                0.83535,                0.67253,                0.89106,                0.82947,                 1.2725,                0.00307,                0.00307,                0.00307
                    107,                0.65245,                0.51834,                 1.0473,                0.78279,                0.73396,                0.81477,                0.66415,                0.91409,                0.86448,                 1.2868,               0.003004,               0.003004,               0.003004
                    108,                0.64759,                0.52186,                 1.0422,                0.81213,                  0.683,                0.79496,                0.65731,                0.90154,                0.84303,                 1.3229,               0.002938,               0.002938,               0.002938
                    109,                0.62788,                0.49089,                 1.0417,                0.77716,                0.70426,                0.79424,                0.66213,                0.86896,                0.78296,                 1.3117,               0.002872,               0.002872,               0.002872
                    110,                0.64079,                 0.5008,                 1.0321,                 0.7909,                   0.72,                0.78955,                0.65348,                0.85099,                0.84723,                 1.2917,               0.002806,               0.002806,               0.002806
                    111,                0.63745,                0.53081,                 1.0414,                0.82052,                  0.706,                0.79391,                0.64633,                0.84456,                0.83239,                  1.287,                0.00274,                0.00274,                0.00274
                    112,                 0.6094,                0.45331,                 1.0062,                 0.7151,                0.77809,                0.78704,                0.63382,                0.89074,                0.82938,                 1.3391,               0.002674,               0.002674,               0.002674
                    113,                0.61064,                0.48308,                 1.0256,                0.76975,                0.70012,                0.78037,                0.64465,                 0.8984,                0.84845,                 1.3347,               0.002608,               0.002608,               0.002608
                    114,                0.65164,                0.52494,                 1.0564,                  0.783,                0.66632,                0.78913,                0.65285,                0.90416,                 0.8097,                 1.3245,               0.002542,               0.002542,               0.002542
                    115,                0.62305,                0.47845,                 1.0373,                0.72985,                0.75801,                 0.7825,                0.64774,                0.89457,                0.80027,                 1.3078,               0.002476,               0.002476,               0.002476
                    116,                0.62439,                0.46652,                 1.0435,                0.88723,                0.67072,                0.79148,                 0.6527,                0.89692,                0.80725,                 1.3127,                0.00241,                0.00241,                0.00241
                    117,                0.59116,                0.47743,                 1.0215,                0.74803,                0.73777,                 0.7916,                 0.6465,                0.90126,                0.77517,                 1.2977,               0.002344,               0.002344,               0.002344
                    118,                0.58884,                0.45535,                 1.0353,                0.82714,                0.65969,                0.78743,                0.65438,                0.88772,                0.87762,                 1.2807,               0.002278,               0.002278,               0.002278
                    119,                0.59796,                0.47704,                 1.0214,                0.79101,                0.69513,                0.77517,                0.64021,                 0.8291,                0.92334,                 1.2435,               0.002212,               0.002212,               0.002212
                    120,                0.59301,                0.46307,                 1.0222,                0.75514,                0.70047,                0.77463,                  0.642,                0.89156,                0.97104,                 1.2937,               0.002146,               0.002146,               0.002146
                    121,                 0.5471,                0.42901,                0.99198,                0.83881,                0.63781,                0.78308,                0.64198,                0.89815,                0.96274,                 1.2964,                0.00208,                0.00208,                0.00208
                    122,                0.58233,                0.43237,                 1.0117,                0.68565,                0.74286,                0.79815,                0.64615,                0.88476,                0.90318,                 1.2713,               0.002014,               0.002014,               0.002014
                    123,                0.59218,                0.46433,                 1.0221,                0.72165,                0.78426,                0.82984,                0.66178,                0.86979,                0.79691,                 1.2487,               0.001948,               0.001948,               0.001948
                    124,                0.57048,                0.43046,                 1.0108,                0.77296,                0.77471,                0.83532,                0.67583,                0.84514,                0.76652,                 1.2291,               0.001882,               0.001882,               0.001882
                    125,                0.57769,                 0.4438,                 1.0085,                0.76906,                0.78147,                0.82855,                  0.677,                 0.8489,                0.79838,                 1.2189,               0.001816,               0.001816,               0.001816
                    126,                0.54728,                0.45523,                 1.0032,                0.67631,                0.78056,                0.81306,                0.66657,                0.87591,                0.84763,                 1.2602,                0.00175,                0.00175,                0.00175
                    127,                0.56085,                0.43088,                0.99856,                0.70882,                0.77217,                0.81857,                0.67141,                0.84896,                0.82997,                 1.2426,               0.001684,               0.001684,               0.001684
                    128,                0.55905,                0.44412,                 1.0132,                0.71595,                0.76837,                0.79648,                0.65465,                0.87212,                 0.8558,                 1.2694,               0.001618,               0.001618,               0.001618
                    129,                0.51499,                0.41818,                0.96784,                0.72742,                0.79937,                0.79891,                0.65348,                0.87629,                0.82994,                 1.2717,               0.001552,               0.001552,               0.001552
                    130,                0.57214,                0.43902,                 1.0149,                0.70611,                0.76359,                0.79961,                0.65957,                0.87098,                0.82626,                 1.2612,               0.001486,               0.001486,               0.001486
                    131,                0.54051,                0.42267,                0.98822,                0.69414,                0.79232,                0.81289,                0.66688,                0.86957,                0.78955,                 1.2564,                0.00142,                0.00142,                0.00142
                    132,                0.52146,                0.40447,                0.99674,                 0.7528,                0.74917,                0.81806,                0.67844,                0.85319,                 0.7627,                 1.2454,               0.001354,               0.001354,               0.001354
                    133,                0.50722,                  0.402,                 0.9796,                0.80335,                0.75031,                0.83341,                0.68808,                0.84607,                 0.7243,                 1.2423,               0.001288,               0.001288,               0.001288
                    134,                0.53418,                0.40179,                 1.0094,                0.74591,                0.84467,                 0.8712,                0.70498,                0.83977,                0.68274,                 1.2353,               0.001222,               0.001222,               0.001222
